Row Labels,650111,652564,660217,687480,1087950,8038146,8038184,8038288,8038321,8038463,8038634,8038677,Grand_Total
1114,,,4701.53,276.35,,927.23,250,,643.47,,68.79,,6867.37
1115,,,3786.92,187.84,,1414.76,504.82,,344.36,,48.24,,6286.94
1116,,,3573.58,259.4,,1135.2,95.89,,381.74,,30.39,,5476.2
1117,,,3412.72,503.2,,1221.78,527.71,,540.37,,23.32,,6229.1
1118,,,2592.65,242.96,,1313.3,3768.02,,371.34,,,1.19,8289.46
1119,,,2752.7,214.25,,868.12,632.86,,386.48,,,,4854.41
1120,,,2424.11,215.65,,888.6,671.98,,474.55,,,,4674.89
1121,,,2506.88,48.69,,649.82,247.04,,420.89,,1.01,,3874.33
1122,,,2893.47,231.85,,873.14,57.17,,333.73,,,,4389.36
1123,,,3013.58,262.74,,953.56,41.23,,446.98,,,1.19,4719.28
1124,,,3242.51,167.72,,1359.74,94.99,,272.52,,,,5137.48
1125,,,2392.11,96.2,,589.1,51.69,,345.02,,,1.19,3475.31
1126,,,2859.95,205.4,,1278.49,271.02,,229.48,,,,4844.34
1127,,,2852.83,154.67,,591.87,112.5,,171.88,,,,3883.75
1128,,,2450.9,238.76,,1892.34,321.5,,71.16,,,,4974.66
1129,,,2572.16,261.48,,427.68,376.76,,,,,,3638.08
1130,,,3857.64,282.09,,1036.99,540.7,,,,,,5717.42
1131,,,3099.77,252.16,,832.86,298.03,,,,,,4482.82
1132,,,3174.47,176.21,,850.91,215.48,,,,,,4417.07
1133,,,2554.4,262.25,,828.93,167.48,,,,,,3813.06
1134,,,3778.36,244.37,,1231.67,391.2,,,,,,5645.6
1135,,,2192.35,301.48,,747.73,169.8,,,,,,3411.36
1136,,,1537.17,87.35,,475.87,476.27,,,,,,2576.66
1137,,,2616.81,155.04,,1904.39,414.79,1527.35,,,,,6618.38
1138,,,1507.14,187.34,,928.65,239.03,910.91,,,,,3773.07
1139,,,1827.76,144.17,,1251.8,288.11,472.72,,,,,3984.56
1140,,,1338.17,154.76,,1380.24,121.56,1341.23,,,,,4335.96
