WEEK,650111,8038146,8038184,Grand_Total
1322,90.6,11466.96,522.77,12080.33
1323,175.36,6558.24,765.87,7499.47
1324,233.17,6515.52,898.61,7647.3
1325,126.37,9600.08,944.93,10671.38
1326,76.12,10504.13,429.19,11009.44
1327,58.19,3438.34,494.07,3990.6
1328,271.11,8593.06,1006.1,9870.27
1329,196.78,6338.44,686.48,7221.7
1330,90.13,4040.67,639.39,4770.19
1331,130.02,3829.92,803.37,4763.31
1332,89.39,,256.32,345.71
1333,240.55,,1047.74,1288.29
1334,158.71,,393.91,552.62
1335,398.53,,1017.45,1415.98
1336,196.45,,529.49,725.94
1337,410.12,,940.62,1350.74
1338,139.19,,705.39,844.58
1339,154.33,,644.46,798.79
1340,247.62,,376.32,623.94
1341,256.95,,588.53,845.48
1342,64.27,,964.35,1028.62
1343,234.8,,781.93,1016.73
1344,132.15,3981.04,256.22,4369.41
1345,323.56,6318.28,525.97,7167.81
1346,210.76,4785.51,481.78,5478.05
1347,260.57,6863.76,429.94,7554.27
1348,194.91,4551.91,610.93,5357.75
1349,173.13,7336.88,647.09,8157.1
1350,244.06,5368.16,288,5900.22
1351,,10217.15,633.2,10850.35
1352,,7601.51,730.4,8331.91
1353,,11936.28,526.97,12463.25
1354,,13915.08,1410.95,15326.03
1355,,15073.46,2043.6,17117.06
1356,,14255.71,1841.43,16097.14
1357,,8617.69,991.46,9609.15
1358,,12271.66,1142.81,13414.47
1359,,12989.79,1951.03,14940.82
1360,,8120.04,7091.64,15211.68
1361,,4793.06,687.71,5480.77
1362,,10497.31,698.45,11195.76
1363,,,619.77,619.77
1364,,13061.33,2484.73,15546.06
1365,,,844.31,844.31
1366,,,806.95,806.95
1367,,19709.93,907.99,20617.92
1368,,10649.58,,10649.58
1369,,11991.9,,11991.9
1370,,14214.26,,14214.26
1371,,8362.46,,8362.46
1372,,7172.77,,7172.77
1373,,11475.97,,11475.97
