WEEKS,684127,689163,8029538,8029539,8029613,8029617,8029776,8029822,8029846,Grand-Total
1208,,,76.38,162.86,,579.18,1013.44,193.04,71.54,2096.44
1209,,,82.32,110.14,,563.24,605.24,215.56,99.37,1675.87
1210,,,108.2,98.06,,1654.14,526.2,170.85,72.87,2630.32
1211,,,138.8,161.22,,769.71,1250.06,364.43,114.38,2798.6
1212,,,89.96,175.38,,877.69,610.94,163.1,77.79,1994.86
1213,,,119.79,81.08,,791.66,786.8,382.72,139.78,2301.83
1214,,,71.69,143.08,,690.35,1100.53,266.31,100.78,2372.74
1215,,,25.87,134.7,,644.93,998.34,181.41,62.28,2047.53
1216,,,125.5,131.9,,667.37,930.97,91.65,56.37,2003.76
1217,,,53.29,27.96,,824.96,915.24,118.25,54.09,1993.79
1218,5288.75,,155.77,76.29,,588.95,813.07,152.29,75.67,7150.79
1219,2730.02,,511.24,255.89,,1891.77,994.66,349.01,234.25,6966.84
1220,3810.14,,149.76,146.46,,788.45,933.46,323.47,196.19,6347.93
1221,2590.7,,75.82,66.36,,765.25,734.95,299.67,101.44,4634.19
1222,3969.37,,116.48,86.76,,930.01,851.44,183.78,69.09,6206.93
1223,2899.5,,78.21,89.5,,571.84,752.14,132.42,77.91,4601.52
1224,4429.95,,48.59,125.63,,651.29,1672.75,153.77,64.35,7146.33
1225,2914,,85.04,103.68,,890,1804.4,174.65,139.44,6111.21
1226,2654.68,,67.38,132.64,,444.75,871.58,114.45,88.63,4374.11
1227,4736.8,,56.75,116.4,,616.26,1206.75,181.06,72.27,6986.29
1228,5999.92,,112.49,71.24,,473.39,1453.04,203.37,66.65,8380.1
1229,3657.83,,65.67,122.79,,564.01,947.36,91.22,93.06,5541.94
1230,5638.77,,46.85,115.01,,771.86,2052.59,164.51,83.16,8872.75
1231,2961.94,,139.4,61.65,,551.98,1473.28,146.09,102.96,5437.3
1232,4098.13,,65.12,71.45,,552.79,1329.23,289.48,79.24,6485.44
1233,5949.31,,74.37,277.93,,1445.73,2026.77,316.62,138.47,10229.2
1234,3033.28,,108.18,65.41,,530.85,1919.03,223.93,146.88,6027.56
1235,2353.58,,77.22,125.61,,700.81,1903.13,205.98,159.62,5525.95
1236,3634.42,,102.49,74.28,,898.1,2380.8,265,142.58,7497.67
1237,3765.37,,129.31,98.34,,838.18,1314.79,184.5,55.44,6385.93
1238,10993.08,,98.29,45.15,,939.59,2518.92,185.57,97.92,14878.52
1239,8938.33,,64.67,67.5,,434.51,1193.78,112.55,89.42,10900.76
1240,3209.87,,62.37,84.16,,950.44,1318.53,201.17,190.08,6016.62
1241,3271.38,,77.22,111.32,,861.67,2080.83,191.11,77.54,6671.07
1242,2156.81,,33.66,111.69,,744.73,1882.42,114.29,85.14,5128.74
1243,3700.76,,92.11,127.21,,765.97,958.9,266.67,104.59,6016.21
1244,,,1056.66,107.46,,3537.57,1160.28,1387.75,295.64,7545.36
1245,,,191.29,48.38,,415.09,510.25,138.51,317.73,1621.25
1246,,,63.36,66.7,,721.56,1256.46,130.87,220.43,2459.38
1247,,,84.47,129.83,,645.82,920.36,182.88,263.55,2226.91
1248,,,262.15,149.64,,886.45,893.88,167.89,215.89,2575.9
1249,,,356.74,51.13,,899.04,1107.78,163.52,89.22,2667.43
1250,,,158.51,143.64,,1059.76,773.92,97.04,113.06,2345.93
1251,,,67.7,64.59,,1567.96,497.42,,175.03,2372.7
1252,,,198.49,159.76,,1158.15,1035.56,51.21,222.24,2825.41
1253,,,106.87,155.5,,1276.22,799.81,123.72,197.14,2659.26
1254,,,94.09,49.2,,642.87,1117.43,54.83,116.08,2074.5
1255,,,50.49,27.61,,638.81,615.39,77.36,87.12,1496.78
1256,,,65.34,160.57,,560.59,511.53,50.59,169.29,1517.91
1257,,,71.25,55.85,,802.07,863.48,65.6,145.53,2003.78
1258,,,82.25,142.82,,706,891.41,58.31,85.66,1966.45
1259,,,33.74,85.1,,986.81,1268.55,,102.58,2476.78
1260,,,62.83,147.22,,1179.84,652.12,,213.38,2255.39
1261,,,78.87,266.98,,1977.1,886.62,,150.17,3359.74
