WEEK,8038146,8038184,8038288,Grand_Total
1218,37964.76,5158.06,31528.69,74651.51
1219,44365.34,8455.83,21097.14,73918.31
1220,30436.92,9051.19,20153.5,59641.61
1221,23048.8,4085.7,18460.75,45595.25
1222,28949.93,4558.66,23855.73,57364.32
1223,22427.27,4309.08,22161.91,48898.26
1224,55522.17,9117.53,38185.08,102824.78
1225,43871.8,3722.84,21989.32,69583.96
1226,35095.14,5310.3,17113.06,57518.5
1227,48062.2,4456.38,20982.77,73501.35
1228,65044.37,6261.11,35754.38,107059.86
1229,39451.25,16224.37,32284.45,87960.07
1230,48737.02,7594.3,27563.76,83895.08
1231,48271.28,9094.15,33761.37,91126.8
1232,50947.18,5351.8,31325.77,87624.75
1233,55117.06,5515.39,30940.54,91572.99
1234,38213.4,5287.62,25917.16,69418.18
1235,48294.93,12474.61,43022.51,103792.05
1236,57065.99,11603.34,39625.1,108294.43
1237,44450.69,9380.68,34678.43,88509.8
1238,67490.43,5400.79,30457.67,103348.89
1239,38462.35,15745.46,28085.65,82293.46
1240,61549.79,7040.12,20288.26,88878.17
1241,55610.67,3914.3,11302.73,70827.7
1242,38017.04,9669.7,49833.57,97520.31
1243,115084.72,5878.96,22503.48,143467.16
1244,70104.12,8246.75,26861.13,105212
1245,42039.48,2059.78,14320.21,58419.47
1246,62156.13,4858.74,21889.29,88904.16
1247,58360.8,16398.46,31408.72,106167.98
1248,65944.64,7248.18,21642.54,94835.36
1249,63670.27,6993.96,20874.68,91538.91
1250,37408.1,3364.4,23387.6,64160.1
1251,54576.69,8512.9,27726.61,90816.2
1252,74894.36,3365.6,19205.87,97465.83
1253,57605.28,9273.31,21068.52,87947.11
1254,65701.58,10569.34,31878.71,108149.63
1255,49525.35,6811.01,25456.17,81792.53
1256,76410.81,9356.06,31548.87,117315.74
1257,61907.86,5824.78,20452.29,88184.93
1258,32968.06,7460.33,29943.19,70371.58
1259,68623.43,4296.84,15553.89,88474.16
1260,37718.38,2059.63,22210.99,61989
1261,44690.94,2291.31,19143.75,66126
1262,36119.7,3569.03,14808.12,54496.85
1263,50687.85,6290.35,24926.73,81904.93
1264,32625.87,3226.43,14939.93,50792.23
1265,40049.5,7435.96,19614.82,67100.28
1266,23485.2,7153.08,7533.6,38171.88
1267,33422.47,7701.58,14386.2,55510.25
1268,34030.56,6859.55,19237.16,60127.27
1269,42071.62,6132.9,45900.69,94105.21
