from/to,ES,LS,RX,A8,A6,3series,5series,7series,XJ,Sclass
ES,0,11,0,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,4,0,4,0
RX,4,9,0,0,0,0,0,0,0,0
A8,2,18,10,0,8,0,0,0,9,0
A6,7,21,22,0,0,0,2,5,0,5
3series,20,12,16,8,1,0,0,0,3,0
5series,14,0,18,5,0,0,0,0,4,5
7series,4,19,14,3,0,1,5,0,8,11
XJ,0,0,2,0,1,0,0,0,0,6
Sclass,12,23,30,12,0,3,0,0,0,0
