from/to,ES,LS,RX,A8,A6,3series,5series,7series,XJ,Sclass
ES,0,1,1,1,1,1,1,1,1,1
LS,1,0,1,1,1,1,1,1,1,1
RX,1,1,0,1,0,1,0,1,0,1
A8,1,1,1,0,1,1,1,1,1,1
A6,1,1,1,1,0,1,1,1,0,1
3series,1,1,1,1,1,0,0,1,1,1
5series,1,1,1,1,1,0,0,1,1,1
7series,1,1,1,1,0,1,1,0,1,1
XJ,1,1,1,1,1,0,0,1,0,1
Sclass,1,1,1,1,1,1,1,1,1,0
