"","Bernie","Beyonce","BlackLivesMatter","Cruz","HillaryClinton","SB50","Trump"
"Bernie",109.083333333333,0,0,0,0,0.102425665101721,0
"Beyonce",0,10.2666666666667,3.42222222222222,0,0,0.0867605633802817,0
"BlackLivesMatter",0,3.42222222222222,436.333333333333,0,0,0,43.6333333333333
"Cruz",0,0,0,174.533333333333,0,0,8.72666666666667
"HillaryClinton",0,0,0,0,2618,0,0
"SB50",0.102425665101721,0.0867605633802817,0,0,0,1.22910798122066,0.0614553990610329
"Trump",0,0,43.6333333333333,8.72666666666667,0,0.0614553990610329,130.9
