"","Bernie","Beyonce","BlackLivesMatter","Cruz","HillaryClinton","SB50","Trump"
"Bernie",259.733333333333,0,0,0,0,0,0
"Beyonce",0,7.85483870967742,7.85483870967742,0,0,0.137096774193548,1.07111436950147
"BlackLivesMatter",0,7.85483870967742,1298.66666666667,0,0,1.33333333333333,0
"Cruz",0,0,0,556.571428571429,0,0,0
"HillaryClinton",0,0,0,0,3896,0,0
"SB50",0,0.137096774193548,1.33333333333333,0,0,1.33333333333333,0.0606060606060606
"Trump",0,1.07111436950147,0,0,0,0.0606060606060606,177.090909090909
