"","Bernie","Beyonce","BlackLivesMatter","Cruz","HillaryClinton","SB50","Trump"
"Bernie",11.1019900497512,0.0068277921585186,1.38774875621891,0.0774197353539138,1.96710017871806,0.00340656337826058,0.487234673029835
"Beyonce",0.0068277921585186,5.48954489544895,1.51942760499034,0,0,0.0993811441643106,0.114724031252852
"BlackLivesMatter",1.38774875621891,1.51942760499034,79.6964285714286,0,0.77375173370319,0.061135646341998,0.541302806389013
"Cruz",0.0774197353539138,0,0,24.8981868898187,0,0.00381991207269388,1.78215862272997
"HillaryClinton",1.96710017871806,0,0.77375173370319,0,43.3300970873786,0,0.0905540169015228
"SB50",0.00340656337826058,0.0993811441643106,0.061135646341998,0.00381991207269388,0,2.73887695612151,0.02003358275115
"Trump",0.487234673029835,0.114724031252852,0.541302806389013,1.78215862272997,0.0905540169015228,0.02003358275115,9.32706374085685
