"","Bernie","Beyonce","BlackLivesMatter","Cruz","HillaryClinton","SB50","Trump"
"Bernie",52.3409090909091,0.0429375792378253,0,0.393540669856459,9.81392045454546,0.0164516451645164,0.787081339712919
"Beyonce",0.0429375792378253,7.55701394585726,3.48785259039566,0,0,0.117577303259448,0.0852294805923751
"BlackLivesMatter",0,3.48785259039566,354.307692307692,0,0,0.278412456630278,2.66396761133603
"Cruz",0.393540669856459,0,0,69.2631578947368,0,0.0108852990562214,8.59279778393352
"HillaryClinton",9.81392045454546,0,0,0,575.75,0,0
"SB50",0.0164516451645164,0.117577303259448,0.278412456630278,0.0108852990562214,0,1.44774477447745,0.0761970933935499
"Trump",0.787081339712919,0.0852294805923751,2.66396761133603,8.59279778393352,0,0.0761970933935499,34.6315789473684
