"","Bernie","Beyonce","BlackLivesMatter","Cruz","HillaryClinton","SB50","Trump"
"Bernie",6.23804573804574,0.00585182527021176,1.52485562485562,0.0332991765376107,1.29720828803398,0,0.255755879074265
"Beyonce",0.00585182527021176,5.62945590994372,0.4378465707734,0,0,0.629869192720975,0.0973704737786549
"BlackLivesMatter",1.52485562485562,0.4378465707734,66.6777777777778,0,0.815630309208291,0,0.427147839703894
"Cruz",0.0332991765376107,0,0,10.6779359430605,0,0,0.643001908166359
"HillaryClinton",1.29720828803398,0,0.815630309208291,0,18.3516819571865,0,0.0470254502426305
"SB50",0,0.629869192720975,0,0,0,41.965034965035,0
"Trump",0.255755879074265,0.0973704737786549,0.427147839703894,0.643001908166359,0.0470254502426305,0,3.84433055733504
