"","Bernie","Beyonce","BlackLivesMatter","Cruz","HillaryClinton","SB50","Trump"
"Bernie",5.61489361702128,0,0.31193853427896,0.255222437137331,0.162750539623805,0,1.03262411347518
"Beyonce",0,2.72905894519131,1.08656976521506,0,0,0.682264736297828,0.313684936228887
"BlackLivesMatter",0.31193853427896,1.08656976521506,24.4351851851852,0,0,0,0.280864197530864
"Cruz",0.255222437137331,0,0,119.954545454545,0,0,13.7878787878788
"HillaryClinton",0.162750539623805,0,0,0,38.2463768115942,0,0
"SB50",0,0.682264736297828,0,0,0,219.916666666667,0
"Trump",1.03262411347518,0.313684936228887,0.280864197530864,13.7878787878788,0,0,30.3333333333333
