"","Bernie","Beyonce","BlackLivesMatter","Cruz","HillaryClinton","SB50","Trump"
"Bernie",19.6934306569343,0.0420799800361844,0,0.177418294206615,4.22002085505735,0,0.351668404588113
"Beyonce",0.0420799800361844,5.76495726495726,2.37380593262946,0,0,0.131921218877741,0
"BlackLivesMatter",0,2.37380593262946,158.705882352941,0,0,0.242114236999147,0
"Cruz",0.177418294206615,0,0,24.3063063063063,0,0.0185402794098446,3.47232947232947
"HillaryClinton",4.22002085505735,0,0,0,192.714285714286,0,0
"SB50",0,0.131921218877741,0.242114236999147,0.0185402794098446,0,2.05797101449275,0.110248447204969
"Trump",0.351668404588113,0,0,3.47232947232947,0,0.110248447204969,12.0446428571429
