"","acura","audi","bmw","buick","cadillac","chevrolet","chrysler","dodge","ford","honda","hyundai","infiniti","kia","lincoln","mazda","mercedes","mercury","mitsubishi","nissan","pontiac","saturn","subaru","suzuki","toyota","volkswagen","volvo"
"acura",44.7703703703704,5.12557978539287,3.1417803768681,2.09563435776202,2.27260763301372,0.431868524473026,1.0411714039621,1.00381996346122,2.2305522604455,3.90897077982505,0.706714607267093,6.11255979226459,0.956631845520734,2.64466322862947,0.858609842719432,4.86634460547504,1.21001001001001,0,1.64346929207689,0.252939945595313,1.32326217843459,6.61039025602784,1.74430014430014,1.30831006342403,1.19844203668295,4.93790849673203
"audi",5.12557978539287,42.3644859813084,6.11105645734273,0.901372042155498,1.50533706532568,0.442715689515281,0.53739305684535,0.569925820376346,1.28148801011075,1.09104517916686,0.534989562510603,5.00244852915819,1.0862688713156,0.715012421625458,1.04460376392267,9.20967086550183,0.572493053801465,3.60548816862199,0.85801490595055,0,0.208692049169007,9.95138932446842,2.20075251850953,1.06468316609951,4.37415342828041,6.54157504123145
"bmw",3.1417803768681,6.11105645734273,35.3450292397661,1.12803284807764,2.15299670496037,0.340948835110284,0.896702644560662,1.74347677864317,1.13204719985016,1.50971230421111,0.864795506261049,5.34740294771369,0.604188534013095,1.34221630024428,0.581014179283826,11.7816764132554,0,0.752021898718427,0.984291953512473,0.898602438299138,0.174113444530867,4.0326543427921,0.459026353763196,1.23945163903329,1.75711426430959,6.75713794289646
"buick",2.09563435776202,0.901372042155498,1.12803284807764,38.5787234042553,2.54580408251431,1.76767462543614,1.30498852953084,1.21099131762236,1.78478079806163,0.726985993798781,0.822119598985709,0.427070738792494,0.824331696672122,0.813897118233235,0.317085397843194,1.11822386679001,1.56400230017251,0,0.586005925127929,1.52571222502705,1.33030080704329,0.258917606739969,0,1.28520586443165,0.516350026443188,3.120337922403
"cadillac",2.27260763301372,1.50533706532568,2.15299670496037,2.54580408251431,92.0406091370558,1.47975255847357,0.583767076979212,0.825476315130546,2.29282656213306,0.925031247608601,0.36322260906494,3.73596568452994,0.786671872966289,3.10685600462636,0.50433210486058,7.33657029353344,1.24379201536562,0,0.466028400693954,1.04000688290459,1.81360806181391,0.617722208973529,0,0.968282270290476,0.175985868330891,1.35353836966259
"chevrolet",0.431868524473026,0.442715689515281,0.340948835110284,1.76767462543614,1.47975255847357,14.5755627009646,1.07853000958512,1.96083803151991,1.8932670412285,1.00710546300635,0.966335648682738,0.215137456840806,1.80637315524775,0.738003174732386,1.11812535788222,0.950580176149867,0.590901190579647,1.86071013203804,0.793353412837315,1.85282576707177,1.72321923558203,1.27169339001705,1.5143441767236,0.98817374243828,1.05902750026129,0.750212786079062
"chrysler",1.0411714039621,0.53739305684535,0.896702644560662,1.30498852953084,0.583767076979212,1.07853000958512,38.3340380549683,5.15704547824685,1.84167086740951,2.48015447214933,1.02869557527145,0.848724089777896,1.96584810538299,0.808734980062622,2.62561904486084,2.77782884456292,2.59013770641678,2.44685349287032,0.630813284448845,0.433152972372523,0.377675251773087,2.05820338550165,1.49353395019357,0.918583027617592,0.952853718383533,1.97307548812337
"dodge",1.00381996346122,0.569925820376346,1.74347677864317,1.21099131762236,0.825476315130546,1.96083803151991,5.15704547824685,81.3094170403587,2.31485884812409,1.17469635171373,0.385048541627587,1.20013899690566,0.347476141198114,1.71538854515525,0.668296578413907,3.53519204523299,1.09877590595079,5.18996278981013,0.617539876255889,1.60781333130653,1.20161700059643,2.18280314202305,0,0.760345220716388,0.621869346388977,0.597863360590873
"ford",2.2305522604455,1.28148801011075,1.13204719985016,1.78478079806163,2.29282656213306,1.8932670412285,1.84167086740951,2.31485884812409,32.2633451957295,2.12792163665302,1.65518345518739,0.47621173720634,2.48179578428689,7.35114194333078,5.3919563203822,2.10413120841714,11.3357699336347,1.37290830620126,1.592747421055,1.36709089812413,1.11252914468033,2.38185769901359,1.67601793224569,1.73479120865407,1.91235889305471,3.79568767008583
"honda",3.90897077982505,1.09104517916686,1.50971230421111,0.726985993798781,0.925031247608601,1.00710546300635,2.48015447214933,1.17469635171373,2.12792163665302,11.3894472361809,1.46525643212114,1.2608244172894,2.4823154232702,0.672794351504357,2.74594892269567,1.5681123006336,0.923468694825479,3.39260130439431,2.09046816360282,0.643471595264458,0.729373468326856,2.06385956628781,1.47914899171181,2.02360722372823,1.72039451559903,1.59117277564292
